factQuestion	factAnswer	factValueQuestion	factValueAnswer	factTagQuestion	factTagAnswer
51914	1991	10000-kreekly/mp3/Joey/beige.mp3	бежевый	{1008=joey}	{1002=eng-rus}
51915	1991	10000-kreekly/mp3/Kendra/beige.mp3	бежевый	{1008=kendra}	{1002=eng-rus}
51916	1991	10000-kreekly/mp3/Kimberly/beige.mp3	бежевый	{1008=kimberly}	{1002=eng-rus}
51917	1991	10000-kreekly/mp3/Justin/beige.mp3	бежевый	{1008=justin}	{1002=eng-rus}
51918	1991	10000-kreekly/mp3/Joanna/beige.mp3	бежевый	{1008=joanna}	{1002=eng-rus}
51919	1991	10000-kreekly/mp3/Salli/beige.mp3	бежевый	{1008=salli}	{1002=eng-rus}
51920	1991	10000-kreekly/mp3/Matthew/beige.mp3	бежевый	{1008=matthew}	{1002=eng-rus}
118117	1991	5000-studynow/mp3/beige.mp3	бежевый	{}	{1002=eng-rus}
11257	4428	1000-puzzle-english/mp3/freedictionary_UK/snow.mp3	снег	{1008=freedictionary_uk}	{1002=eng-rus}
11257	128446	1000-puzzle-english/mp3/freedictionary_UK/snow.mp3	снег, падать (о снеге)	{1008=freedictionary_uk}	{1002=eng-rus}
11258	4428	1000-puzzle-english/mp3/collins_US/snow.mp3	снег	{1008=collins_us}	{1002=eng-rus}
11258	128446	1000-puzzle-english/mp3/collins_US/snow.mp3	снег, падать (о снеге)	{1008=collins_us}	{1002=eng-rus}
11259	4428	1000-puzzle-english/mp3/macmillan_UK/snow.mp3	снег	{1008=macmillan_uk}	{1002=eng-rus}
11259	128446	1000-puzzle-english/mp3/macmillan_UK/snow.mp3	снег, падать (о снеге)	{1008=macmillan_uk}	{1002=eng-rus}
11260	4428	1000-puzzle-english/mp3/freedictionary_US/snow.mp3	снег	{1008=freedictionary_us}	{1002=eng-rus}
11260	128446	1000-puzzle-english/mp3/freedictionary_US/snow.mp3	снег, падать (о снеге)	{1008=freedictionary_us}	{1002=eng-rus}
11261	4428	1000-puzzle-english/mp3/peterBaker_UK/snow.mp3	снег	{1008=peterbaker_uk}	{1002=eng-rus}
11261	128446	1000-puzzle-english/mp3/peterBaker_UK/snow.mp3	снег, падать (о снеге)	{1008=peterbaker_uk}	{1002=eng-rus}
11262	4428	1000-puzzle-english/mp3/howjsay_UK/snow.mp3	снег	{1008=howjsay_uk}	{1002=eng-rus}
11262	128446	1000-puzzle-english/mp3/howjsay_UK/snow.mp3	снег, падать (о снеге)	{1008=howjsay_uk}	{1002=eng-rus}
11263	4428	1000-puzzle-english/mp3/campbridge_US/snow.mp3	снег	{1008=campbridge_us}	{1002=eng-rus}
11263	128446	1000-puzzle-english/mp3/campbridge_US/snow.mp3	снег, падать (о снеге)	{1008=campbridge_us}	{1002=eng-rus}
11264	4428	1000-puzzle-english/mp3/vocalware_hugh_UK/snow.mp3	снег	{1008=vocalware_hugh_uk}	{1002=eng-rus}
11264	128446	1000-puzzle-english/mp3/vocalware_hugh_UK/snow.mp3	снег, падать (о снеге)	{1008=vocalware_hugh_uk}	{1002=eng-rus}
11265	4428	1000-puzzle-english/mp3/campbridge_UK/snow.mp3	снег	{1008=campbridge_uk}	{1002=eng-rus}
11265	128446	1000-puzzle-english/mp3/campbridge_UK/snow.mp3	снег, падать (о снеге)	{1008=campbridge_uk}	{1002=eng-rus}
11266	4428	1000-puzzle-english/mp3/collins_UK/snow.mp3	снег	{1008=collins_uk}	{1002=eng-rus}
11266	128446	1000-puzzle-english/mp3/collins_UK/snow.mp3	снег, падать (о снеге)	{1008=collins_uk}	{1002=eng-rus}
11267	4428	1000-puzzle-english/mp3/SteveElliott_UK/snow.mp3	снег	{1008=steveelliott_uk}	{1002=eng-rus}
11267	128446	1000-puzzle-english/mp3/SteveElliott_UK/snow.mp3	снег, падать (о снеге)	{1008=steveelliott_uk}	{1002=eng-rus}
11268	4428	1000-puzzle-english/mp3/yandex_UK/snow.mp3	снег	{1008=yandex_uk}	{1002=eng-rus}
11268	128446	1000-puzzle-english/mp3/yandex_UK/snow.mp3	снег, падать (о снеге)	{1008=yandex_uk}	{1002=eng-rus}
53501	4428	10000-kreekly/mp3/Joey/snow.mp3	снег	{1008=joey}	{1002=eng-rus}
53501	128446	10000-kreekly/mp3/Joey/snow.mp3	снег, падать (о снеге)	{1008=joey}	{1002=eng-rus}
53502	4428	10000-kreekly/mp3/Kendra/snow.mp3	снег	{1008=kendra}	{1002=eng-rus}
53502	128446	10000-kreekly/mp3/Kendra/snow.mp3	снег, падать (о снеге)	{1008=kendra}	{1002=eng-rus}
53503	4428	10000-kreekly/mp3/Kimberly/snow.mp3	снег	{1008=kimberly}	{1002=eng-rus}
53503	128446	10000-kreekly/mp3/Kimberly/snow.mp3	снег, падать (о снеге)	{1008=kimberly}	{1002=eng-rus}
53504	4428	10000-kreekly/mp3/Ivy/snow.mp3	снег	{1008=ivy}	{1002=eng-rus}
53504	128446	10000-kreekly/mp3/Ivy/snow.mp3	снег, падать (о снеге)	{1008=ivy}	{1002=eng-rus}
53505	4428	10000-kreekly/mp3/Justin/snow.mp3	снег	{1008=justin}	{1002=eng-rus}
53505	128446	10000-kreekly/mp3/Justin/snow.mp3	снег, падать (о снеге)	{1008=justin}	{1002=eng-rus}
53506	4428	10000-kreekly/mp3/Joanna/snow.mp3	снег	{1008=joanna}	{1002=eng-rus}
53506	128446	10000-kreekly/mp3/Joanna/snow.mp3	снег, падать (о снеге)	{1008=joanna}	{1002=eng-rus}
53507	4428	10000-kreekly/mp3/Salli/snow.mp3	снег	{1008=salli}	{1002=eng-rus}
53507	128446	10000-kreekly/mp3/Salli/snow.mp3	снег, падать (о снеге)	{1008=salli}	{1002=eng-rus}
53508	4428	10000-kreekly/mp3/Matthew/snow.mp3	снег	{1008=matthew}	{1002=eng-rus}
53508	128446	10000-kreekly/mp3/Matthew/snow.mp3	снег, падать (о снеге)	{1008=matthew}	{1002=eng-rus}
128447	4428	8000-wordsteps/mp3/snow.mp3	снег	{}	{1002=eng-rus}
