no	eng	trans	rus	category1	category2
1	I		я	Местоимения	личные
2	you		ты	Местоимения	личные
3	he		он	Местоимения	личные
4	she		она	Местоимения	личные
5	it		оно	Местоимения	личные
6	we		мы	Местоимения	личные
7	they		они	Местоимения	личные
8	me		меня, мне, мной	Местоимения	личные
9	you		тебя, тебе, тобой, вам, вами, вас	Местоимения	личные
10	him		его, ему, им	Местоимения	личные
11	her		ее, ей, ею	Местоимения	личные
12	it		его, ему, ей, им	Местоимения	личные
13	us		нас, нам, нами	Местоимения	личные
14	them		им, ими, их	Местоимения	личные
15	my		мое, моя, мои	Местоимения	Притяжательные
16	your		твое, твой, твоя, твои, ваш, ваша, ваше, ваши	Местоимения	Притяжательные
17	his		его	Местоимения	Притяжательные
18	her		ее	Местоимения	Притяжательные
19	its		его, ее	Местоимения	Притяжательные
20	our		наш, наша, наше	Местоимения	Притяжательные
21	their		их	Местоимения	Притяжательные
22	this		этот, эта (единственное число)	Местоимения	указательные
23	these		эти (множественное число)	Местоимения	указательные
24	that		тот, та, то (единственное число)	Местоимения	указательные
25	those		те (множественное число)	Местоимения	указательные
26	all		все, вся, весь	Местоимения	неопределенные
27	every		каждый	Местоимения	неопределенные
28	any		любой	Местоимения	неопределенные
29	some		какой-то, некоторые	Местоимения	неопределенные
30	other		другой, другая, другие	Местоимения	неопределенные
31	at		у, в	Предлоги	
32	between		между	Предлоги	
33	in		в, на	Предлоги	
34	on		на	Предлоги	
35	over		над	Предлоги	
36	under		под	Предлоги	
37	along		вдоль	Предлоги	
38	down		вниз	Предлоги	
39	from		из	Предлоги	
40	through		через	Предлоги	
41	to		к	Предлоги	
42	up		вверх	Предлоги	
43	after		после	Предлоги	
44	before		до	Предлоги	
45	during		во время, в течение	Предлоги	
46	since		с (какого-то момента времени)	Предлоги	
47	about		о	Предлоги	
48	for		для	Предлоги	
49	with		с	Предлоги	
50	without		без	Предлоги	
51	again		опять	Наречия	
52	already		уже	Наречия	
53	also		также	Наречия	
54	almost		почти	Наречия	
55	always		всегда	Наречия	
56	enough		достаточно	Наречия	
57	especially		особенно	Наречия	
58	even		даже	Наречия	
59	just		только что, просто	Наречия	
60	quickly		быстро	Наречия	
61	most		наиболее	Наречия	
62	never		никогда	Наречия	
63	now		сейчас	Наречия	
64	often		часто	Наречия	
65	only		только	Наречия	
66	slowly		медленно	Наречия	
67	sometimes		иногда	Наречия	
68	still		всё ещё	Наречия	
69	then		тогда, потом	Наречия	
70	very		очень	Наречия	
71	usually		обычно	Наречия	
72	well		хорошо	Наречия	
73	what		что?	Вопросы	
74	who		кто?	Вопросы	
75	when		когда?	Вопросы	
76	how		как?	Вопросы	
77	which		который?	Вопросы	
78	body	[ ˈbɒdi ]	тело	Существительные	
79	boy	[ bɔɪ ]	мальчик	Существительные	
80	child	[ tʃaɪld ]	ребенок	Существительные	
81	eye	[ aɪ ]	глаз	Существительные	
82	face	[ feɪs ]	лицо	Существительные	
83	family	[ ˈfæm ə li ]	семья	Существительные	
84	father	[ ˈfɑːðə r]	отец	Существительные	
85	friend	[ frend ]	друг	Существительные	
86	girl	[ ɡɜːl ]	девочка	Существительные	
87	guy	[ ɡaɪ ]	парень	Существительные	
88	hand	[ hænd ]	рука	Существительные	
89	head	[hed]	голова	Существительные	
90	husband	[ ˈhʌzbənd ]	муж	Существительные	
91	man	[mæn]	мужчина	Существительные	
92	mother	[ ˈmʌðə r]	мать	Существительные	
93	name	[ neɪm ]	имя	Существительные	
94	people	[ ˈpiːp ə l ]	люди	Существительные	
