eng	rus	category
add up to	составлять в сумме	фразовые глаголы
ask around	поспрашивать (разных людей)	фразовые глаголы
ask out	звать на свидание	фразовые глаголы
back up	поддерживать, защищать	фразовые глаголы
blow up	взрываться	фразовые глаголы
break down	ломаться	фразовые глаголы
break into	врываться	фразовые глаголы
break out	сбежать	фразовые глаголы
break out in	покрыться (о коже, напр. прыщами, сыпью)	фразовые глаголы
break up	расставаться	фразовые глаголы
bring down	расстроить	фразовые глаголы
bring in	вносить, приносить	фразовые глаголы
bring up	поднять тему	фразовые глаголы
call around	обзванивать	фразовые глаголы
call back	перезвонить	фразовые глаголы
call off	отменять	фразовые глаголы
call on	вызвать	фразовые глаголы
call up	позвонить	фразовые глаголы
calm down	успокаиваться	фразовые глаголы
catch on	прижиться	фразовые глаголы
catch up	догнать	фразовые глаголы
check in	зарегистрироваться на рейс или в отеле	фразовые глаголы
check out	проверять	фразовые глаголы
cheer up	развеселить	фразовые глаголы
chip in	помочь	фразовые глаголы
clean up	убирать	фразовые глаголы
come across	наткнуться, случайно найти	фразовые глаголы
come apart	развалиться	фразовые глаголы
come around	поменять мнение	фразовые глаголы
come between	встать между кем-либо	фразовые глаголы
come down on	ругать, отчитывать	фразовые глаголы
come down with	заболеть	фразовые глаголы
come forward	выступить	фразовые глаголы
come from	происходить	фразовые глаголы
come out	выйти, появиться	фразовые глаголы
come out of	быть результатом чего-либо	фразовые глаголы
come up	всплыть, стать предметом разговора	фразовые глаголы
come up with	придумывать	фразовые глаголы
count on	полагаться на что-либо/кого-либо	фразовые глаголы
cross out	вычеркнуть	фразовые глаголы
cut back on	сократить потребление	фразовые глаголы
cut down	срубить	фразовые глаголы
cut in	вмешаться	фразовые глаголы
cut off	отрезать	фразовые глаголы
cut out	вырезать	фразовые глаголы
dive into	погрузиться	фразовые глаголы
do away with	выбрасывать	фразовые глаголы
do up	закрыть, застегнуть	фразовые глаголы
dress up	хорошо одеться	фразовые глаголы
drop back	отступить, отойти	фразовые глаголы
drop by	навестить	фразовые глаголы
drop off	отвезти, подвезти	фразовые глаголы
drop out	бросить учебу	фразовые глаголы
eat out	есть в ресторане	фразовые глаголы
end up	прийти к решению или действию	фразовые глаголы
fall apart	развалиться	фразовые глаголы
fall down	упасть	фразовые глаголы
fall out	выпасть	фразовые глаголы
figure out	понять, выяснить	фразовые глаголы
fill in	заполнить	фразовые глаголы
fill up	наполнить	фразовые глаголы
find out	выяснить, узнать	фразовые глаголы
get across	донести	фразовые глаголы
get ahead	продвинуться	фразовые глаголы
get along with	ладить	фразовые глаголы
get around	обойти, объехать	фразовые глаголы
get around to	в конце концов что-то сделать	фразовые глаголы
get at	дотянуться	фразовые глаголы
get away	уйти, сбежать	фразовые глаголы
get away with	избежать наказания	фразовые глаголы
get back	вернуть	фразовые глаголы
get back at	отомстить	фразовые глаголы
get back into	вернуться	фразовые глаголы
get by	выживать	фразовые глаголы
get down	расстроить	фразовые глаголы
get down to	начать, приступить	фразовые глаголы
get in on	присоединиться	фразовые глаголы
get into	вдаваться в подробности	фразовые глаголы
get on	сесть в транспортное средство	фразовые глаголы
get on with	ладить, дружить	фразовые глаголы
get out of	получать выгоду	фразовые глаголы
get over	преодолеть	фразовые глаголы
get rid of	избавиться	фразовые глаголы
get through	пережить, преодолеть	фразовые глаголы
get to	раздражать	фразовые глаголы
get together	собираться	фразовые глаголы
get up	подняться, встать	фразовые глаголы
give away	отдавать, дарить	фразовые глаголы
give back	отдать, вернуть	фразовые глаголы
give in	сдаться	фразовые глаголы
give out	раздавать	фразовые глаголы
give up	сдаваться, прекращать	фразовые глаголы
go after	преследовать, идти за кем-либо	фразовые глаголы
go against	противостоять	фразовые глаголы
go ahead	двигаться вперед	фразовые глаголы
go along with	соглашаться	фразовые глаголы
go around	обойти	фразовые глаголы
go back	возвращаться	фразовые глаголы
go for	стремиться	фразовые глаголы
go on	продолжать	фразовые глаголы
go on	продолжиться	фразовые глаголы
go out	выйти из дома	фразовые глаголы
go out with	пойти на свидание	фразовые глаголы
go over	проверять, пересматривать	фразовые глаголы
go without	продолжать без чего-либо	фразовые глаголы
grow apart	отдалиться друг от друга	фразовые глаголы
grow back	вырасти снова	фразовые глаголы
grow into	дорасти до чего-либо	фразовые глаголы
grow out of	вырасти из чего-либо	фразовые глаголы
grow up	повзрослеть	фразовые глаголы
hand down	передать по наследству	фразовые глаголы
hand in	отправлять	фразовые глаголы
hand out	раздавать	фразовые глаголы
hand over	передать, сдать	фразовые глаголы
hang in	держаться	фразовые глаголы
hang on	ждать	фразовые глаголы
hang out	тусоваться	фразовые глаголы
hang up	повесить трубку	фразовые глаголы
heal up	зажить	фразовые глаголы
hold back	мешать, сдерживать	фразовые глаголы
hold on	ждать	фразовые глаголы
hold onto	крепко держаться	фразовые глаголы
hold up	держать, держаться	фразовые глаголы
keep from	скрывать	фразовые глаголы
keep out	не пускать	фразовые глаголы
keep up	продолжать	фразовые глаголы
leave out	пропустить, упустить	фразовые глаголы
let down	разочаровать	фразовые глаголы
let go of	отпускать	фразовые глаголы
let in	впускать	фразовые глаголы
let know	рассказать, сообщить	фразовые глаголы
log in	войти в аккаунт	фразовые глаголы
log out	выйти из аккаунта	фразовые глаголы
look after	заботиться, присматривать	фразовые глаголы
look down on	смотреть свысока	фразовые глаголы
look for	искать	фразовые глаголы
look forward to	ждать с нетерпением, предвкушать	фразовые глаголы
look into	исследовать	фразовые глаголы
look out	остерегаться	фразовые глаголы
look out for	остерегаться чего-либо определенного	фразовые глаголы
look over	проверить	фразовые глаголы
look up	искать информацию	фразовые глаголы
look up to	уважать, брать пример	фразовые глаголы
make out	понять	фразовые глаголы
make up	выдумывать, врать	фразовые глаголы
make up for	компенсировать, загладить вину	фразовые глаголы
mix up	перепутать	фразовые глаголы
pass away	умереть	фразовые глаголы
pass out	потерять сознание	фразовые глаголы
pass up	отказаться	фразовые глаголы
pay back	вернуть долг	фразовые глаголы
pay for	расплачиваться, нести наказание	фразовые глаголы
pick out	выбирать	фразовые глаголы
pick up	подобрать, подвезти	фразовые глаголы
point out	указывать	фразовые глаголы
pull up	подтягивать	фразовые глаголы
put down	положить, поставить	фразовые глаголы
put off	откладывать	фразовые глаголы
put on	надевать	фразовые глаголы
put out	потушить	фразовые глаголы
put together	собрать	фразовые глаголы
put up with	терпеть, мириться с чем-либо	фразовые глаголы
run away	сбежать	фразовые глаголы
run into	случайно встретить	фразовые глаголы
run out of	исчерпать	фразовые глаголы
run over	переехать кого-либо или что-либо	фразовые глаголы
see to	проследить за чем-либо	фразовые глаголы
send back	отослать обратно	фразовые глаголы
set up	устанавливать, организовывать	фразовые глаголы
shop around	походить по магазинам в поисках	фразовые глаголы
show off	красоваться, хвастаться	фразовые глаголы
shut off	выключать	фразовые глаголы
sleep over	ночевать у кого-либо	фразовые глаголы
sort out	разобраться с проблемой	фразовые глаголы
stand up	вставать	фразовые глаголы
stick to	придерживаться, продолжать делать что-либо	фразовые глаголы
switch off	выключить	фразовые глаголы
switch on	включить	фразовые глаголы
take after	походить на родственника	фразовые глаголы
take apart	разобрать на части	фразовые глаголы
take back	вернуть	фразовые глаголы
take off	взлететь, быстро уйти	фразовые глаголы
take out	выносить	фразовые глаголы
tear up	порвать	фразовые глаголы
think back	вспомнить	фразовые глаголы
think over	обдумывать	фразовые глаголы
throw away	выбрасывать	фразовые глаголы
try on	примерить	фразовые глаголы
try out	протестировать, попробовать	фразовые глаголы
turn down	отвергать	фразовые глаголы
turn into	превратиться	фразовые глаголы
turn off	выключить	фразовые глаголы
turn on	включить	фразовые глаголы
turn up	увеличить (громкость, скорость, силу и т. п.)	фразовые глаголы
use up	истратить, израсходовать	фразовые глаголы
wait on	обслуживать	фразовые глаголы
wake up	проснуться	фразовые глаголы
warm up	согреть	фразовые глаголы
wear off	стереться, износиться	фразовые глаголы
work out	тренироваться, заниматься спортом	фразовые глаголы
