no	eng	trans	rus	category1	category2
1	Mother		мама	родственники	
2	Father		папа	родственники	
3	Parents		родители	родственники	
4	Wife		жена	родственники	
5	Husband		муж	родственники	
6	Son		сын	родственники	
7	Daughter		дочь	родственники	
8	Children		дети	родственники	
9	Brother		брат	родственники	
10	Sister		сестра	родственники	
11	Siblings		родные братья или/и сестры	родственники	
12	Cousins		двоюродные братья или сестры, также родственники	родственники	
13	Relatives		родственники	родственники	
14	Aunt		тетя	родственники	
15	Uncle		дядя	родственники	
16	Nephew		племянник	родственники	
17	Niece		племянница	родственники	
18	Grandparents		бабушка и дедушка	родственники	
19	Grandmother		бабушка	родственники	
20	Grandfather		дедушка	родственники	
21	Grandson		внук	родственники	
22	Granddaughter		внучка	родственники	
23	Grandchildren		внучата	родственники	
24	In-laws 		родственник супруга (теща, свекровь, зять, свояк и т.д.)	родственники	
25	Mother-in-law		Теща/свекровь	родственники	
26	Brother-in-law		Зять/свояк	родственники	
27	Spouse		супруг (супружеская пара)	родственники	
28	Stepmother		мачеха	родственники	
29	Stepfather		отчим	родственники	
30	Stepson		пасынок	родственники	
31	stepdaughter		падчерица	родственники	
32	Stepsister		сводня сестра	родственники	
33	stepbrother		сводный брат	родственники	
34	Half-sister		сестра по одному из родителей	родственники	
35	Half-brother		брат по одному из родителей	родственники	
36	Hollowware		Глубокая посуда	посуда	кухня
37	flatware 		мелкая или плоская посуда	посуда	кухня
38	Bread basket		хлебница	посуда	кухня
39	Carafe		графин	посуда	кухня
40	Soup bowl		супница	посуда	кухня
41	Butter dish		масленка	посуда	кухня
42	Sugar bowl		сахарница	посуда	кухня
43	Coffee cup		кофейная чашка	посуда	кухня
44	Sauce boat		соусник	посуда	кухня
45	Salt shaker		солонка	посуда	кухня
46	Pepper shaker		перечница	посуда	кухня
47	Oil cruet		графин для масла	посуда	кухня
48	Vinegar cruet		графин для уксуса	посуда	кухня
49	Coffee pot		кофейник	посуда	кухня
50	Tea pot		чайник, заварочный чайник	посуда	кухня
51	Milk jug		кувшин для молока	посуда	кухня
52	Cream jug		ковшик для крема, сливок	посуда	кухня
53	Water jug		кувшин для воды 	посуда	кухня
54	Red wine glass		бокал для красного вина	бокалы и стаканы	кухня
55	Sherry glass		бокал для хереса	бокалы и стаканы	кухня
56	White wine glass		бокал для белого вина	бокалы и стаканы	кухня
57	Water tumbler		стакан для воды	бокалы и стаканы	кухня
58	Ice-cream bowl		чаша для мороженного	бокалы и стаканы	кухня
59	Dessert fork		десертная вилка	Столовые приборы	кухня
60	Fish fork		столовая вилка для рыбы	Столовые приборы	кухня
61	Table fork		столовая вилка	Столовые приборы	кухня
62	Butter knife		нож для масла	Столовые приборы	кухня
63	Fish knife		столовый нож для рыбы	Столовые приборы	кухня
64	Table knife		столовый нож	Столовые приборы	кухня
65	Soup ladle		половник	Столовые приборы	кухня
66	Sugar tongs		щипцы для сахара	Столовые приборы	кухня
67	Dessert spoon		ложка для десерта	Столовые приборы	кухня
68	Soup spoon		ложка для супа	Столовые приборы	кухня
69	Tea spoon		чайная ложка	Столовые приборы	кухня
70	coffee spoon		кофейная ложка	Столовые приборы	кухня
71	Salad spoon		ложка для салата	Столовые приборы	кухня
72	Cake fork		вилка для торта	Столовые приборы	кухня
73	China and crockery		Фаянсовая и глиняная посуда	Фаянсовая и глиняная посуда	кухня
74	Bottom plate		подтарельник	Фаянсовая и глиняная посуда	кухня
75	Dinner plate		глубокая тарелка	Фаянсовая и глиняная посуда	кухня
76	soup plate		глубокая тарелка	Фаянсовая и глиняная посуда	кухня
77	Side plate		вспомогательная тарелка	Фаянсовая и глиняная посуда	кухня
78	Saucer		блюдце	Фаянсовая и глиняная посуда	кухня
79	Tablecloth		скатерть		кухня
80	Napkin		салфетка		кухня
81	Ash-tray		пепельница		кухня
82	Flower vase		ваза для цветов		кухня
83	Fruit		Фрукт	Фрукты	еда
84	Apple 	[æpl]	яблоко	Фрукты	еда
85	Apricot 	[æprɪkɑːt]	абрикос	Фрукты	еда
86	Avocado 	[ævəˈkɑːdoʊ]	авокадо	Фрукты	еда
87	Banana 	[bəˈnænə]	банан	Фрукты	еда
88	Coconut 	[koʊkənʌt]	кокос	Фрукты	еда
89	Fig 	[fɪɡ]	инжир	Фрукты	еда
90	Kiwi (fruit) 	[kiːwiː]	киви	Фрукты	еда
91	Lemon 	[lemən]	лимон	Фрукты	еда
92	Lime 	[laɪm]	лайм	Фрукты	еда
93	Mango 	[mæŋɡoʊ]	манго	Фрукты	еда
94	Nectarine 	[nektəriːn]	нектарин	Фрукты	еда
95	Orange 	[ɔːrɪndʒ]	апельсин	Фрукты	еда
96	Papaya 	[pəˈpaɪə]	папайя	Фрукты	еда
97	Passion fruit 	[pæʃn fruːt]	маракуйя, пассифлора	Фрукты	еда
98	Peach 	[piːtʃ]	персик	Фрукты	еда
99	Pear 	[per]	груша	Фрукты	еда
100	Pineapple 	[paɪnæpl]	ананас	Фрукты	еда
101	Plum 	[plʌm]	слива	Фрукты	еда
102	Quince 	[kwɪns]	айва	Фрукты	еда
103	Star fruit 	[stɑːr fruːt]	карамбола	Фрукты	еда
104	Grapefruit 	[ɡreɪpfruːt]	грейпфрут	Фрукты	еда
105	Guava 	[ɡwɑːvə]	гуава	Фрукты	еда
106	Honeydew 	[hʌniˌduː]	белая мускатная дыня	Фрукты	еда
107	Melon 	[melən]	дыня	Фрукты	еда
108	Pomelo 	[pɑːməloʊ]	помелло	Фрукты	еда
109	Cantaloupe 	[kæntəluːp]	мускусная дыня	Фрукты	еда
