factQuestion	factAnswer	factValueQuestion	factValueAnswer	factTagQuestion	factTagAnswer
16338	2241	1000-puzzle-english/mp3/freedictionary_UK/fruit.mp3	фрукт	{1008=freedictionary_uk}	{1002=eng-rus}
16338	4645	1000-puzzle-english/mp3/freedictionary_UK/fruit.mp3	фрукты	{1008=freedictionary_uk}	{1002=eng-rus}
16339	2241	1000-puzzle-english/mp3/collins_US/fruit.mp3	фрукт	{1008=collins_us}	{1002=eng-rus}
16339	4645	1000-puzzle-english/mp3/collins_US/fruit.mp3	фрукты	{1008=collins_us}	{1002=eng-rus}
16340	2241	1000-puzzle-english/mp3/macmillan_UK/fruit.mp3	фрукт	{1008=macmillan_uk}	{1002=eng-rus}
16340	4645	1000-puzzle-english/mp3/macmillan_UK/fruit.mp3	фрукты	{1008=macmillan_uk}	{1002=eng-rus}
16341	2241	1000-puzzle-english/mp3/freedictionary_US/fruit.mp3	фрукт	{1008=freedictionary_us}	{1002=eng-rus}
16341	4645	1000-puzzle-english/mp3/freedictionary_US/fruit.mp3	фрукты	{1008=freedictionary_us}	{1002=eng-rus}
16342	2241	1000-puzzle-english/mp3/peterBaker_UK/fruit.mp3	фрукт	{1008=peterbaker_uk}	{1002=eng-rus}
16342	4645	1000-puzzle-english/mp3/peterBaker_UK/fruit.mp3	фрукты	{1008=peterbaker_uk}	{1002=eng-rus}
16343	2241	1000-puzzle-english/mp3/howjsay_UK/fruit.mp3	фрукт	{1008=howjsay_uk}	{1002=eng-rus}
16343	4645	1000-puzzle-english/mp3/howjsay_UK/fruit.mp3	фрукты	{1008=howjsay_uk}	{1002=eng-rus}
16344	2241	1000-puzzle-english/mp3/campbridge_US/fruit.mp3	фрукт	{1008=campbridge_us}	{1002=eng-rus}
16344	4645	1000-puzzle-english/mp3/campbridge_US/fruit.mp3	фрукты	{1008=campbridge_us}	{1002=eng-rus}
16345	2241	1000-puzzle-english/mp3/vocalware_hugh_UK/fruit.mp3	фрукт	{1008=vocalware_hugh_uk}	{1002=eng-rus}
16345	4645	1000-puzzle-english/mp3/vocalware_hugh_UK/fruit.mp3	фрукты	{1008=vocalware_hugh_uk}	{1002=eng-rus}
16346	2241	1000-puzzle-english/mp3/campbridge_UK/fruit.mp3	фрукт	{1008=campbridge_uk}	{1002=eng-rus}
16346	4645	1000-puzzle-english/mp3/campbridge_UK/fruit.mp3	фрукты	{1008=campbridge_uk}	{1002=eng-rus}
16347	2241	1000-puzzle-english/mp3/collins_UK/fruit.mp3	фрукт	{1008=collins_uk}	{1002=eng-rus}
16347	4645	1000-puzzle-english/mp3/collins_UK/fruit.mp3	фрукты	{1008=collins_uk}	{1002=eng-rus}
16348	2241	1000-puzzle-english/mp3/SteveElliott_UK/fruit.mp3	фрукт	{1008=steveelliott_uk}	{1002=eng-rus}
16348	4645	1000-puzzle-english/mp3/SteveElliott_UK/fruit.mp3	фрукты	{1008=steveelliott_uk}	{1002=eng-rus}
16349	2241	1000-puzzle-english/mp3/yandex_UK/fruit.mp3	фрукт	{1008=yandex_uk}	{1002=eng-rus}
16349	4645	1000-puzzle-english/mp3/yandex_UK/fruit.mp3	фрукты	{1008=yandex_uk}	{1002=eng-rus}
66198	2241	10000-kreekly/mp3/Joey/fruit.mp3	фрукт	{1008=joey}	{1002=eng-rus}
66198	4645	10000-kreekly/mp3/Joey/fruit.mp3	фрукты	{1008=joey}	{1002=eng-rus}
66199	2241	10000-kreekly/mp3/Kendra/fruit.mp3	фрукт	{1008=kendra}	{1002=eng-rus}
66199	4645	10000-kreekly/mp3/Kendra/fruit.mp3	фрукты	{1008=kendra}	{1002=eng-rus}
66200	2241	10000-kreekly/mp3/Kimberly/fruit.mp3	фрукт	{1008=kimberly}	{1002=eng-rus}
66200	4645	10000-kreekly/mp3/Kimberly/fruit.mp3	фрукты	{1008=kimberly}	{1002=eng-rus}
66201	2241	10000-kreekly/mp3/Ivy/fruit.mp3	фрукт	{1008=ivy}	{1002=eng-rus}
66201	4645	10000-kreekly/mp3/Ivy/fruit.mp3	фрукты	{1008=ivy}	{1002=eng-rus}
66202	2241	10000-kreekly/mp3/Justin/fruit.mp3	фрукт	{1008=justin}	{1002=eng-rus}
66202	4645	10000-kreekly/mp3/Justin/fruit.mp3	фрукты	{1008=justin}	{1002=eng-rus}
66203	2241	10000-kreekly/mp3/Joanna/fruit.mp3	фрукт	{1008=joanna}	{1002=eng-rus}
66203	4645	10000-kreekly/mp3/Joanna/fruit.mp3	фрукты	{1008=joanna}	{1002=eng-rus}
66204	2241	10000-kreekly/mp3/Salli/fruit.mp3	фрукт	{1008=salli}	{1002=eng-rus}
66204	4645	10000-kreekly/mp3/Salli/fruit.mp3	фрукты	{1008=salli}	{1002=eng-rus}
66205	2241	10000-kreekly/mp3/Matthew/fruit.mp3	фрукт	{1008=matthew}	{1002=eng-rus}
66205	4645	10000-kreekly/mp3/Matthew/fruit.mp3	фрукты	{1008=matthew}	{1002=eng-rus}
133792	2241	8000-wordsteps/mp3/fruit.mp3	фрукт	{}	{1002=eng-rus}
133792	4645	8000-wordsteps/mp3/fruit.mp3	фрукты	{}	{1002=eng-rus}
33253	2244	10000-kreekly/mp3/Joey/apricot.mp3	абрикос	{1008=joey}	{1002=eng-rus}
33254	2244	10000-kreekly/mp3/Kendra/apricot.mp3	абрикос	{1008=kendra}	{1002=eng-rus}
33255	2244	10000-kreekly/mp3/Kimberly/apricot.mp3	абрикос	{1008=kimberly}	{1002=eng-rus}
33256	2244	10000-kreekly/mp3/Justin/apricot.mp3	абрикос	{1008=justin}	{1002=eng-rus}
33257	2244	10000-kreekly/mp3/Joanna/apricot.mp3	абрикос	{1008=joanna}	{1002=eng-rus}
33258	2244	10000-kreekly/mp3/Salli/apricot.mp3	абрикос	{1008=salli}	{1002=eng-rus}
33259	2244	10000-kreekly/mp3/Matthew/apricot.mp3	абрикос	{1008=matthew}	{1002=eng-rus}
125486	2244	8000-wordsteps/mp3/apricot.mp3	абрикос	{}	{1002=eng-rus}
68000	2247	10000-kreekly/mp3/Joey/pineapple.mp3	ананас	{1008=joey}	{1002=eng-rus}
68001	2247	10000-kreekly/mp3/Kendra/pineapple.mp3	ананас	{1008=kendra}	{1002=eng-rus}
68002	2247	10000-kreekly/mp3/Kimberly/pineapple.mp3	ананас	{1008=kimberly}	{1002=eng-rus}
68003	2247	10000-kreekly/mp3/Justin/pineapple.mp3	ананас	{1008=justin}	{1002=eng-rus}
68004	2247	10000-kreekly/mp3/Joanna/pineapple.mp3	ананас	{1008=joanna}	{1002=eng-rus}
68005	2247	10000-kreekly/mp3/Salli/pineapple.mp3	ананас	{1008=salli}	{1002=eng-rus}
68006	2247	10000-kreekly/mp3/Matthew/pineapple.mp3	ананас	{1008=matthew}	{1002=eng-rus}
123190	2247	5000-studynow/mp3/pineapple.mp3	ананас	{}	{1002=eng-rus}
125504	2247	8000-wordsteps/mp3/pineapple.mp3	ананас	{}	{1002=eng-rus}
29567	2250	10000-kreekly/mp3/Joey/banana.mp3	банан	{1008=joey}	{1002=eng-rus}
29568	2250	10000-kreekly/mp3/Kendra/banana.mp3	банан	{1008=kendra}	{1002=eng-rus}
29569	2250	10000-kreekly/mp3/Kimberly/banana.mp3	банан	{1008=kimberly}	{1002=eng-rus}
29570	2250	10000-kreekly/mp3/Justin/banana.mp3	банан	{1008=justin}	{1002=eng-rus}
29571	2250	10000-kreekly/mp3/Joanna/banana.mp3	банан	{1008=joanna}	{1002=eng-rus}
29572	2250	10000-kreekly/mp3/Salli/banana.mp3	банан	{1008=salli}	{1002=eng-rus}
29573	2250	10000-kreekly/mp3/Matthew/banana.mp3	банан	{1008=matthew}	{1002=eng-rus}
126582	2250	8000-wordsteps/mp3/banana.mp3	банан	{}	{1002=eng-rus}
28447	2256	10000-kreekly/mp3/Joey/grape.mp3	виноград	{1008=joey}	{1002=eng-rus}
28447	121070	10000-kreekly/mp3/Joey/grape.mp3	виноград (ягода)	{1008=joey}	{1002=eng-rus}
28448	2256	10000-kreekly/mp3/Kendra/grape.mp3	виноград	{1008=kendra}	{1002=eng-rus}
28448	121070	10000-kreekly/mp3/Kendra/grape.mp3	виноград (ягода)	{1008=kendra}	{1002=eng-rus}
28449	2256	10000-kreekly/mp3/Kimberly/grape.mp3	виноград	{1008=kimberly}	{1002=eng-rus}
28449	121070	10000-kreekly/mp3/Kimberly/grape.mp3	виноград (ягода)	{1008=kimberly}	{1002=eng-rus}
28450	2256	10000-kreekly/mp3/Justin/grape.mp3	виноград	{1008=justin}	{1002=eng-rus}
28450	121070	10000-kreekly/mp3/Justin/grape.mp3	виноград (ягода)	{1008=justin}	{1002=eng-rus}
28451	2256	10000-kreekly/mp3/Joanna/grape.mp3	виноград	{1008=joanna}	{1002=eng-rus}
28451	121070	10000-kreekly/mp3/Joanna/grape.mp3	виноград (ягода)	{1008=joanna}	{1002=eng-rus}
28452	2256	10000-kreekly/mp3/Salli/grape.mp3	виноград	{1008=salli}	{1002=eng-rus}
28452	121070	10000-kreekly/mp3/Salli/grape.mp3	виноград (ягода)	{1008=salli}	{1002=eng-rus}
28453	2256	10000-kreekly/mp3/Matthew/grape.mp3	виноград	{1008=matthew}	{1002=eng-rus}
28453	121070	10000-kreekly/mp3/Matthew/grape.mp3	виноград (ягода)	{1008=matthew}	{1002=eng-rus}
121071	2256	5000-studynow/mp3/grape.mp3	виноград	{}	{1002=eng-rus}
121071	121070	5000-studynow/mp3/grape.mp3	виноград (ягода)	{}	{1002=eng-rus}
69167	2259	10000-kreekly/mp3/Joey/grapefruit.mp3	грейпфрут	{1008=joey}	{1002=eng-rus}
69168	2259	10000-kreekly/mp3/Kendra/grapefruit.mp3	грейпфрут	{1008=kendra}	{1002=eng-rus}
69169	2259	10000-kreekly/mp3/Kimberly/grapefruit.mp3	грейпфрут	{1008=kimberly}	{1002=eng-rus}
69170	2259	10000-kreekly/mp3/Justin/grapefruit.mp3	грейпфрут	{1008=justin}	{1002=eng-rus}
69171	2259	10000-kreekly/mp3/Joanna/grapefruit.mp3	грейпфрут	{1008=joanna}	{1002=eng-rus}
69172	2259	10000-kreekly/mp3/Salli/grapefruit.mp3	грейпфрут	{1008=salli}	{1002=eng-rus}
69173	2259	10000-kreekly/mp3/Matthew/grapefruit.mp3	грейпфрут	{1008=matthew}	{1002=eng-rus}
83551	2262	10000-kreekly/mp3/Joey/pear.mp3	груша	{1008=joey}	{1002=eng-rus}
83552	2262	10000-kreekly/mp3/Kendra/pear.mp3	груша	{1008=kendra}	{1002=eng-rus}
83553	2262	10000-kreekly/mp3/Kimberly/pear.mp3	груша	{1008=kimberly}	{1002=eng-rus}
83554	2262	10000-kreekly/mp3/Justin/pear.mp3	груша	{1008=justin}	{1002=eng-rus}
83555	2262	10000-kreekly/mp3/Joanna/pear.mp3	груша	{1008=joanna}	{1002=eng-rus}
83556	2262	10000-kreekly/mp3/Salli/pear.mp3	груша	{1008=salli}	{1002=eng-rus}
83557	2262	10000-kreekly/mp3/Matthew/pear.mp3	груша	{1008=matthew}	{1002=eng-rus}
123071	2262	5000-studynow/mp3/pear.mp3	груша	{}	{1002=eng-rus}
125502	2262	8000-wordsteps/mp3/pear.mp3	груша	{}	{1002=eng-rus}
73664	2265	10000-kreekly/mp3/Joey/melon.mp3	дыня	{1008=joey}	{1002=eng-rus}
73665	2265	10000-kreekly/mp3/Kendra/melon.mp3	дыня	{1008=kendra}	{1002=eng-rus}
73666	2265	10000-kreekly/mp3/Kimberly/melon.mp3	дыня	{1008=kimberly}	{1002=eng-rus}
73667	2265	10000-kreekly/mp3/Justin/melon.mp3	дыня	{1008=justin}	{1002=eng-rus}
73668	2265	10000-kreekly/mp3/Joanna/melon.mp3	дыня	{1008=joanna}	{1002=eng-rus}
73669	2265	10000-kreekly/mp3/Salli/melon.mp3	дыня	{1008=salli}	{1002=eng-rus}
73670	2265	10000-kreekly/mp3/Matthew/melon.mp3	дыня	{1008=matthew}	{1002=eng-rus}
122374	2265	5000-studynow/mp3/melon.mp3	дыня	{}	{1002=eng-rus}
125513	2265	8000-wordsteps/mp3/melon.mp3	дыня	{}	{1002=eng-rus}
87864	2063	10000-kreekly/mp3/Joey/lemon.mp3	лимонный	{1008=joey}	{1002=eng-rus}
87864	2267	10000-kreekly/mp3/Joey/lemon.mp3	лимон	{1008=joey}	{1002=eng-rus}
87865	2063	10000-kreekly/mp3/Kendra/lemon.mp3	лимонный	{1008=kendra}	{1002=eng-rus}
87865	2267	10000-kreekly/mp3/Kendra/lemon.mp3	лимон	{1008=kendra}	{1002=eng-rus}
87866	2063	10000-kreekly/mp3/Kimberly/lemon.mp3	лимонный	{1008=kimberly}	{1002=eng-rus}
87866	2267	10000-kreekly/mp3/Kimberly/lemon.mp3	лимон	{1008=kimberly}	{1002=eng-rus}
87867	2063	10000-kreekly/mp3/Justin/lemon.mp3	лимонный	{1008=justin}	{1002=eng-rus}
87867	2267	10000-kreekly/mp3/Justin/lemon.mp3	лимон	{1008=justin}	{1002=eng-rus}
87868	2063	10000-kreekly/mp3/Joanna/lemon.mp3	лимонный	{1008=joanna}	{1002=eng-rus}
87868	2267	10000-kreekly/mp3/Joanna/lemon.mp3	лимон	{1008=joanna}	{1002=eng-rus}
87869	2063	10000-kreekly/mp3/Salli/lemon.mp3	лимонный	{1008=salli}	{1002=eng-rus}
87869	2267	10000-kreekly/mp3/Salli/lemon.mp3	лимон	{1008=salli}	{1002=eng-rus}
87870	2063	10000-kreekly/mp3/Matthew/lemon.mp3	лимонный	{1008=matthew}	{1002=eng-rus}
87870	2267	10000-kreekly/mp3/Matthew/lemon.mp3	лимон	{1008=matthew}	{1002=eng-rus}
125510	2063	8000-wordsteps/mp3/lemon.mp3	лимонный	{}	{1002=eng-rus}
125510	2267	8000-wordsteps/mp3/lemon.mp3	лимон	{}	{1002=eng-rus}
23525	2096	10000-kreekly/mp3/Joey/peach.mp3	персиковый	{1008=joey}	{1002=eng-rus}
23525	2272	10000-kreekly/mp3/Joey/peach.mp3	персик	{1008=joey}	{1002=eng-rus}
23526	2096	10000-kreekly/mp3/Kendra/peach.mp3	персиковый	{1008=kendra}	{1002=eng-rus}
23526	2272	10000-kreekly/mp3/Kendra/peach.mp3	персик	{1008=kendra}	{1002=eng-rus}
23527	2096	10000-kreekly/mp3/Kimberly/peach.mp3	персиковый	{1008=kimberly}	{1002=eng-rus}
23527	2272	10000-kreekly/mp3/Kimberly/peach.mp3	персик	{1008=kimberly}	{1002=eng-rus}
23528	2096	10000-kreekly/mp3/Justin/peach.mp3	персиковый	{1008=justin}	{1002=eng-rus}
23528	2272	10000-kreekly/mp3/Justin/peach.mp3	персик	{1008=justin}	{1002=eng-rus}
23529	2096	10000-kreekly/mp3/Joanna/peach.mp3	персиковый	{1008=joanna}	{1002=eng-rus}
23529	2272	10000-kreekly/mp3/Joanna/peach.mp3	персик	{1008=joanna}	{1002=eng-rus}
23530	2096	10000-kreekly/mp3/Salli/peach.mp3	персиковый	{1008=salli}	{1002=eng-rus}
23530	2272	10000-kreekly/mp3/Salli/peach.mp3	персик	{1008=salli}	{1002=eng-rus}
23531	2096	10000-kreekly/mp3/Matthew/peach.mp3	персиковый	{1008=matthew}	{1002=eng-rus}
23531	2272	10000-kreekly/mp3/Matthew/peach.mp3	персик	{1008=matthew}	{1002=eng-rus}
123069	2096	5000-studynow/mp3/peach.mp3	персиковый	{}	{1002=eng-rus}
123069	2272	5000-studynow/mp3/peach.mp3	персик	{}	{1002=eng-rus}
125500	2096	8000-wordsteps/mp3/peach.mp3	персиковый	{}	{1002=eng-rus}
125500	2272	8000-wordsteps/mp3/peach.mp3	персик	{}	{1002=eng-rus}
71317	2135	10000-kreekly/mp3/Joey/plum.mp3	сливовый	{1008=joey}	{1002=eng-rus}
71317	2273	10000-kreekly/mp3/Joey/plum.mp3	слива	{1008=joey}	{1002=eng-rus}
71318	2135	10000-kreekly/mp3/Kendra/plum.mp3	сливовый	{1008=kendra}	{1002=eng-rus}
71318	2273	10000-kreekly/mp3/Kendra/plum.mp3	слива	{1008=kendra}	{1002=eng-rus}
