no	eng	rus	category1	category2
233	In short / in brief	Вкратце	Вводные фразы	устойчивые сочетания
234	In a word	В двух словах	Вводные фразы	устойчивые сочетания
235	As far / as to	Что касается	Вводные фразы	устойчивые сочетания
236	Not to mention	Не говоря уже о	Вводные фразы	устойчивые сочетания
237	First of all/ above all	Прежде всего	Вводные фразы	устойчивые сочетания
238	What’s more	Кроме того	Вводные фразы	устойчивые сочетания
239	By the way	Кстати	Вводные фразы	устойчивые сочетания
240	After all	В итоге; все-таки	Вводные фразы	устойчивые сочетания
241	Just for the record	Для справки; чтобы вы знали	Вводные фразы	устойчивые сочетания
242	And so on and so forth	И так далее	Вводные фразы	устойчивые сочетания
243	If I’m not mistaken	Если я не ошибаюсь	Вводные фразы	устойчивые сочетания
244	In other words	Другими словами	Вводные фразы	устойчивые сочетания
245	On the contrary	Наоборот	Вводные фразы	устойчивые сочетания
246	The thing is	Дело в том, что	Вводные фразы	устойчивые сочетания
247	So as to / so that	Так чтобы	Вводные фразы	устойчивые сочетания
248	Either way	Так или иначе	Вводные фразы	устойчивые сочетания
249	As a rule	Обычно, как правило	Вводные фразы	устойчивые сочетания
250	As well as	Так же, как и	Вводные фразы	устойчивые сочетания
251	All the same	Без разницы	Вводные фразы	устойчивые сочетания
252	On one hand	С одной стороны	Вводные фразы	устойчивые сочетания
253	On the other hand	С другой стороны	Вводные фразы	устойчивые сочетания
254	Such as	Например	Вводные фразы	устойчивые сочетания
255	As I said before	Как я уже говорил	Вводные фразы	устойчивые сочетания
256	Believe it or not, but	Верите или нет, но	Вводные фразы	устойчивые сочетания
257	If I remember rightly / If I recall correctly	Если я правильно помню	Вводные фразы	устойчивые сочетания
930	Taste	Вкус	Вкусы еды	еда
931	Tasty	Вкусный	Вкусы еды	еда
932	Bitter	Горький	Вкусы еды	еда
933	Creamy	Сливочный	Вкусы еды	еда
934	Sweet	Сладкий	Вкусы еды	еда
935	Sour	Кислый	Вкусы еды	еда
936	Spicy	Острый	Вкусы еды	еда
937	Salty	Соленый	Вкусы еды	еда
938	Raw	Сырой	Вкусы еды	еда
939	Fresh	Свежий	Вкусы еды	еда
89	What	Что	вопросы
90	Which	Который	вопросы
91	How	Как	вопросы
92	When	Когда	вопросы
93	Who	Кто	вопросы
742	Monday	Понедельник	Время и числа	дни недели
743	Tuesday	Вторник	Время и числа	дни недели
744	Wednesday	Среда	Время и числа	дни недели
745	Thursday	Четверг	Время и числа	дни недели
746	Friday	Пятница	Время и числа	дни недели
747	Saturday	Суббота	Время и числа	дни недели
