kaz	rus	category1
адамша	по-человечески	top-200
азын-аулақ	незначительно, чуть-чуть	top-200
айрықша	особенно, особо	top-100
айтуынша	по словам	top-200
ақыры	наконец, наконец-то	top-100
ақырын	потихоньку, мирно, тихо	top-100
ақырында	в конце концов	top-200
алға	вперёд	top-100
алғаш	впервые	top-100
алда	впереди	top-100
алдымен	прежде всего, сперва	top-100
анағұрлым	намного, гораздо	top-200
анда-санда	иногда, временами	top-100
ары	дальше, прочь	top-200
аса	сверх	top-100
астам	более	top-200
асығыс	поспешно, срочно	top-200
ауызша	устно	top-100
әбден	совсем, вполне	top-100
әдейі	назло, специально	top-100
әзір	пока, всё ещё	top-100
әзірге	пока	top-200
әзірше	пока что	top-100
әйтеуір	в общем, всё же	top-100
әлгіде	недавно	top-200
әлі	пока, ещё	top-100
әншейін	просто, бесплатно	top-200
әрдайым	постоянно, систематически	top-200
әредік	изредка, редко	top-200
әрең	едва, еле-еле	top-200
әрқашан	всегда, постоянно	top-100
әрлі-берлі	туда-сюда	top-200
әрі	дальше, туда	top-100
әсте	совершенно, совсем	top-200
әсіресе	особенно, особо	top-100
әуел	сначала	top-200
әуелде	в начале, прежде	top-200
әуелі	сначала, даже	top-100
әшейін	просто, просто так	top-200
бағана	некоторое время назад	top-100
бағанадан	с тех пор	top-200
балаша	по-детски	top-200
барынша	вовсю, максимально	top-100
басқаша	по-другому, иначе	top-100
баста	в начале, поначалу	top-200
бастан-аяқ	полностью, целиком	top-200
басында	сначала, прежде	top-100
баяғыда	давно, прежде, раньше	top-200
бәрібір	как угодно, всё равно	top-200
бек	крепко, сильно	top-200
бекер	зря, напрасно	top-200
бері	ближе, сюда	top-100
бертін	сюда, ближе	top-200
бетер	более, хуже	top-200
бетпе-бет	лицом к лицу	top-200
биыл	в этом году	top-100
босқа	зря	top-200
бөлекше	особенно	top-200
бұлай	так	top-100
бұнда	здесь, сюда	top-100
бұрын	раньше	top-100
бұрынғыша	по-прежнему	top-200
бүгін	сегодня	top-100
бүгінде	нынче	top-200
былай	так	top-100
былтыр	в прошлом году	top-100
біраз	немного	top-100
бірге	вместе	top-100
бірде	однажды	top-100
бірден	сразу	top-200
бірен-саран	редко	top-100
біржола	заодно, всё сразу	top-200
біржолата	совсем, насовсем	top-200
бірқатар	несколько, ряд	top-100
бірсыпыра	изрядно, довольно	top-200
бірталай	значительно	top-100
біртіндеп	один за другим, постепенно	top-200
дәл	точно	top-100
дереу	быстро, моментально	top-200
едәуір	достаточно, значительно	top-100
ежелден	с давних пор	top-200
емін-еркін	свободно, непринуждённо	top-200
енді	теперь	top-100
ендігәрі	в следующий раз	top-200
ең	самый	top-100
ерте	рано	top-100
ертеде	прежде, в прошлом	top-200
ертең	завтра	top-100
ертерек	пораньше	top-200
жай	просто, тихо, медленно	top-100
жақында	недавно, скоро, рядом	top-100
жаңа	только что, недавно	top-100
жаңада	недавно	top-200
жаңадан	заново, снова	top-200
жаңаша	по-новому	top-200
жаппай	сплошь, поголовно	top-200
жартылай	наполовину	top-200
жеке-жеке	отдельно, порознь	top-200
жиі-жиі	очень часто, неоднократно	top-200
жоғары	высоко	top-100
жолшыбай	проездом	top-200
